code_interne;type;ICDCode;category;source
gallbladderdisease;diagnosis;K80;Gastroentérologie;diagnosis
gastroenteritis;diagnosis;A09;Gastroentérologie;diagnosis
gastrointestinalhemorrhage;diagnosis;K92;Gastroentérologie;diagnosis
gastrointestinalobstruction;diagnosis;K56;Gastroentérologie;diagnosis
gastritis;diagnosis;K29;Gastroentérologie;diagnosis
gastroschisis;diagnosis;Q79;Chirurgie;diagnosis
generalizedconvulsiveepilepsy;diagnosis;G40;Neurologie;diagnosis
glomerulonephritis;diagnosis;N00;Néphrologie;diagnosis
glossitis;diagnosis;K14;Dentaire;diagnosis
glucometabolicdisorder;diagnosis;E16;Endocrinologie;diagnosis
gonarthrosis;diagnosis;M17;Orthopédie;diagnosis
gonorrhea;diagnosis;A54;Infectiologie;diagnosis
gout;diagnosis;M10;Rhumatologie;diagnosis
granulomatosiswithpolyangiitis;diagnosis;M31;Rhumatologie;diagnosis
gravesdisease;diagnosis;E05;Endocrinologie;diagnosis
guillainbarre;diagnosis;G61;Neurologie;diagnosis
gynecomastia;diagnosis;N62;Endocrinologie;diagnosis
hairycellleukemia;diagnosis;C91;Hématologie;diagnosis
halluxvalgus;diagnosis;M20;Orthopédie;diagnosis
handfracture;diagnosis;S62;Traumatologie;diagnosis
hashimotothyroiditis;diagnosis;E06;Endocrinologie;diagnosis
headandneckcancer;diagnosis;C76;Oncologie;diagnosis
heartblock;diagnosis;I44;Cardiologie;diagnosis
heartfailure;diagnosis;I50;Cardiologie;diagnosis
hearttransplant;diagnosis;Z94;Cardiologie;diagnosis
hemangioma;diagnosis;D18;Oncologie;diagnosis
hematemesis;diagnosis;K92;Gastroentérologie;diagnosis
hematologicmalignancy;diagnosis;C96;Hématologie;diagnosis
hematuria;diagnosis;R31;Urologie;diagnosis
hemiplegia;diagnosis;G81;Neurologie;diagnosis
hemoglobinopathy;diagnosis;D58;Hématologie;diagnosis
hemolyticuremia;diagnosis;D59;Hématologie;diagnosis
hemophilia;diagnosis;D66;Hématologie;diagnosis
hemoptysis;diagnosis;R04;Pneumologie;diagnosis
hemorrhagicstroke;diagnosis;I61;Neurologie;diagnosis
hepatoblastoma;diagnosis;C22;Oncologie;diagnosis
hepatocellularcarcinoma;diagnosis;C22;Oncologie;diagnosis
hepatomegaly;diagnosis;R16;Hépatologie;diagnosis
hereditaryangioedema;diagnosis;D84;Allergologie;diagnosis
hereditaryelliptocytosis;diagnosis;D58;Hématologie;diagnosis
hereditaryspherocytosis;diagnosis;D58;Hématologie;diagnosis
hernia;diagnosis;K40;Chirurgie;diagnosis
herniateddisc;diagnosis;M51;Orthopédie;diagnosis
herpangina;diagnosis;B08;Infectiologie;diagnosis
herpesencephalitis;diagnosis;B00;Neurologie;diagnosis
herpessimplex;diagnosis;B00;Infectiologie;diagnosis
herpessimplexvirus;diagnosis;B00;Infectiologie;diagnosis
herpeszoster;diagnosis;B02;Infectiologie;diagnosis
hiatalhernia;diagnosis;K44;Chirurgie;diagnosis
hiparthroplasty;diagnosis;Z96;Orthopédie;diagnosis
hipbilateralosteoarthritis;diagnosis;M16;Orthopédie;diagnosis
hipdysplasia;diagnosis;Q65;Orthopédie;diagnosis
hipfracture;diagnosis;S72;Traumatologie;diagnosis
hiposteoarthritis;diagnosis;M16;Orthopédie;diagnosis
hirsutism;diagnosis;L68;Endocrinologie;diagnosis
histiocytosis;diagnosis;C96;Hématologie;diagnosis
hiv;diagnosis;B24;Infectiologie;diagnosis
hives;diagnosis;L50;Allergologie;diagnosis
hodgkinslymphoma;diagnosis;C81;Hématologie;diagnosis
hydrocele;diagnosis;N43;Urologie;diagnosis
hydrocephalus;diagnosis;G91;Neurologie;diagnosis
hyperaldosteronism;diagnosis;E26;Endocrinologie;diagnosis
hyperbilirubinemia;diagnosis;E80;Hépato-gastroentérologie;diagnosis
hypercalcemia;diagnosis;E83;Endocrinologie;diagnosis
hyperglycemia;diagnosis;R73;Endocrinologie;diagnosis
hyperkalemia;diagnosis;E87;Néphrologie;diagnosis
hyperlipidemia;diagnosis;E78;Endocrinologie;diagnosis
hyperparathyroidism;diagnosis;E21;Endocrinologie;diagnosis
hyperpituitarism;diagnosis;E22;Endocrinologie;diagnosis
hyperplasia;diagnosis;N60;Endocrinologie;diagnosis
hypertension;diagnosis;I10;Cardiologie;diagnosis
hyperthyroidism;diagnosis;E05;Endocrinologie;diagnosis
hypertriglyceridemia;diagnosis;E78;Endocrinologie;diagnosis
hyperuricemia;diagnosis;E79;Néphrologie;diagnosis
hypoaldosteronism;diagnosis;E27;Endocrinologie;diagnosis
hypocalcemia;diagnosis;E83;Endocrinologie;diagnosis
hypoglycemia;diagnosis;E16;Endocrinologie;diagnosis
hypokalemia;diagnosis;E87;Néphrologie;diagnosis
hypoparathyroidism;diagnosis;E20;Endocrinologie;diagnosis
hypopituitarism;diagnosis;E23;Endocrinologie;diagnosis
hypotension;diagnosis;I95;Cardiologie;diagnosis
hypothyroidism;diagnosis;E03;Endocrinologie;diagnosis
ichthyosis;diagnosis;Q80;Dermatologie;diagnosis
iliacfemoralarthrosis;diagnosis;M16;Orthopédie;diagnosis
iliacfracture;diagnosis;S32;Traumatologie;diagnosis
immunehemolyticanemia;diagnosis;D59;Hématologie;diagnosis
immunedeficiency;diagnosis;D83;Immunologie;diagnosis
impetigo;diagnosis;L01;Dermatologie;diagnosis
inbornerrors;diagnosis;E74;Génétique;diagnosis
incontinence;diagnosis;R32;Urologie;diagnosis
inducedabortion;diagnosis;O04;Gynécologie;diagnosis
infectiousarthritis;diagnosis;M00;Rhumatologie;diagnosis
infectiousdisease;diagnosis;B99;Infectiologie;diagnosis
infectiousmononucleosis;diagnosis;B27;Infectiologie;diagnosis
inflammatoryboweldisease;diagnosis;K52;Gastroentérologie;diagnosis
influenza;diagnosis;J10;Infectiologie;diagnosis
inguinalhernia;diagnosis;K40;Chirurgie;diagnosis
insomniadisorder;diagnosis;G47;Psychiatrie;diagnosis
insulinoma;diagnosis;C25;Endocrinologie;diagnosis
interstitialcystitis;diagnosis;N30;Urologie;diagnosis
interstitiallungdisease;diagnosis;J84;Pneumologie;diagnosis
intussusception;diagnosis;K56;Chirurgie;diagnosis
irondeficiencyanemia;diagnosis;D50;Hématologie;diagnosis
ischiameliorg;diagnosis;G54;Neurologie;diagnosis
ischemiccardiomyopathy;diagnosis;I25;Cardiologie;diagnosis
ischemiccolitis;diagnosis;K55;Gastroentérologie;diagnosis
ischemicstroke;diagnosis;I63;Neurologie;diagnosis
juvenileneuronalcl;diagnosis;G31;Neurologie;diagnosis
juvenilerheumatoidarthritis;diagnosis;M08;Rhumatologie;diagnosis
junctionaltachycardia;diagnosis;I47;Cardiologie;diagnosis
kaposisarcoma;diagnosis;C46;Oncologie;diagnosis
kawasaki;diagnosis;M30;Pédiatrie;diagnosis
keratitis;diagnosis;H16;Ophtalmologie;diagnosis
keratoconus;diagnosis;H18;Ophtalmologie;diagnosis
kidneystones;diagnosis;N20;Néphrologie;diagnosis
klinefelter;diagnosis;Q98;Génétique;diagnosis
krabbedisease;diagnosis;E75;Neurologie;diagnosis
kyphosis;diagnosis;M40;Orthopédie;diagnosis
labyrinthitis;diagnosis;H83;ORL;diagnosis
lactoseintoler;diagnosis;E73;Nutrition;diagnosis
laryngealmalformation;diagnosis;Q31;ORL;diagnosis
laryngomalacia;diagnosis;Q31;ORL;diagnosis
larynxcarcinoma;diagnosis;C32;Oncologie;diagnosis
laryngitis;diagnosis;J04;ORL;diagnosis
leadpoisoning;diagnosis;T56;Toxicologie;diagnosis
leprosy;diagnosis;A30;Infectiologie;diagnosis
leukemia;diagnosis;C91;Hématologie;diagnosis
leukopenia;diagnosis;D72;Hématologie;diagnosis
lichenplanus;diagnosis;L43;Dermatologie;diagnosis
lichenrubergeneralized;diagnosis;L43;Dermatologie;diagnosis
lichenrubersclerosus;diagnosis;L90;Dermatologie;diagnosis
limbdeficiency;diagnosis;Q71;Orthopédie;diagnosis
liverabscess;diagnosis;K75;Hépatologie;diagnosis
livercirrhosis;diagnosis;K74;Hépatologie;diagnosis
livertransplant;diagnosis;Z94;Hépatologie;diagnosis
lobarhemorrhage;diagnosis;I61;Neurologie;diagnosis
lobectomy;diagnosis;Z90;Chirurgie;diagnosis
longqt;diagnosis;I45;Cardiologie;diagnosis
lupus;diagnosis;M32;Rhumatologie;diagnosis
lymphadenopathy;diagnosis;I88;Hématologie;diagnosis
lymphangioma;diagnosis;D18;Hématologie;diagnosis
lymphaticmalformation;diagnosis;Q82;Hématologie;diagnosis
lymphoma;diagnosis;C85;Hématologie;diagnosis
maculadegeneration;diagnosis;H35;Ophtalmologie;diagnosis
macrosomia;diagnosis;O36;Obstétrique;diagnosis
malaria;diagnosis;B50;Infectiologie;diagnosis
malignantbrainneoplasm;diagnosis;C71;Oncologie;diagnosis
malnutrition;diagnosis;E46;Nutrition;diagnosis
marfansyndrome;diagnosis;Q87;Génétique;diagnosis
mastitis;diagnosis;N61;Gynécologie;diagnosis
measles;diagnosis;B05;Infectiologie;diagnosis
mechanicalobstruction;diagnosis;K56;Gastroentérologie;diagnosis
medulloblastoma;diagnosis;C71;Oncologie;diagnosis
megaloblasticanemia;diagnosis;D53;Hématologie;diagnosis
meningitis;diagnosis;G00;Neurologie;diagnosis
meningococcemia;diagnosis;A39;Infectiologie;diagnosis
meningococcalmeningitis;diagnosis;A39;Infectiologie;diagnosis
meningomyelocele;diagnosis;Q05;Neurologie;diagnosis
meningioma;diagnosis;D32;Oncologie;diagnosis
menorrhagia;diagnosis;N92;Gynécologie;diagnosis
menstrualdisorder;diagnosis;N92;Gynécologie;diagnosis
merkelcellcarcinoma;diagnosis;C4A;Oncologie;diagnosis
mesentericischemia;diagnosis;K55;Gastroentérologie;diagnosis
metabolicacidosis;diagnosis;E87;Néphrologie;diagnosis
metabolicdisorder;diagnosis;E88;Endocrinologie;diagnosis
metastasis;diagnosis;C79;Oncologie;diagnosis
microcephaly;diagnosis;Q02;Pédiatrie;diagnosis
microcyticanemia;diagnosis;D50;Hématologie;diagnosis
microtia;diagnosis;Q17;ORL;diagnosis
migraine;diagnosis;G43;Neurologie;diagnosis
mitralvalveregurgitation;diagnosis;I34;Cardiologie;diagnosis
mitralvalverheumatism;diagnosis;I05;Cardiologie;diagnosis
mitralvalvestenosis;diagnosis;I34;Cardiologie;diagnosis
monoclonalgammopathy;diagnosis;D47;Hématologie;diagnosis
mononucleosis;diagnosis;B27;Infectiologie;diagnosis
mooddisorder;diagnosis;F39;Psychiatrie;diagnosis
motorneuronopathy;diagnosis;G12;Neurologie;diagnosis
mucositis;diagnosis;K12;Dentaire;diagnosis
multiplemyeloma;diagnosis;C90;Hématologie;diagnosis
multipleorganfailure;diagnosis;R65;Soins intensifs;diagnosis
multiplenevifamilial;diagnosis;L81;Dermatologie;diagnosis
multiplepulmonarynodules;diagnosis;D36;Pneumologie;diagnosis
multiplevascularmalformations;diagnosis;Q27;Chirurgie vasculaire;diagnosis
musculardystrophy;diagnosis;G71;Neurologie;diagnosis
myastheniagravis;diagnosis;G70;Neurologie;diagnosis
mycobacteriumaviumcomplex;diagnosis;A31;Infectiologie;diagnosis
myocardialinfarction;diagnosis;I21;Cardiologie;diagnosis
myocarditis;diagnosis;I40;Cardiologie;diagnosis
myoclonus;diagnosis;G25;Neurologie;diagnosis
myofascialpain;diagnosis;M79;Douleur;diagnosis
myopia;diagnosis;H52;Ophtalmologie;diagnosis
myxedema;diagnosis;E03;Endocrinologie;diagnosis
narcolepsy;diagnosis;G47;Neurologie;diagnosis
nasalfracture;diagnosis;S02;Traumatologie;diagnosis
nasalpharyngitis;diagnosis;J00;ORL;diagnosis
nasalseptalperforation;diagnosis;J34;ORL;diagnosis
nasalsinusinfection;diagnosis;J01;ORL;diagnosis
nasopharyngealcancer;diagnosis;C11;Oncologie;diagnosis
nasopharyngitis;diagnosis;J00;ORL;diagnosis
neckcancer;diagnosis;C76;Oncologie;diagnosis
neonatejaundice;diagnosis;P59;Pédiatrie;diagnosis
neoplasmoftestis;diagnosis;C62;Oncologie;diagnosis
nephriticcolic;diagnosis;N23;Néphrologie;diagnosis
nephritis;diagnosis;N05;Néphrologie;diagnosis
nephrolithiasis;diagnosis;N20;Néphrologie;diagnosis
nephroticsyndrome;diagnosis;N04;Néphrologie;diagnosis
nephrotoxicity;diagnosis;T46;Néphrologie;diagnosis
neuraltunel;diagnosis;G55;Neurologie;diagnosis
neuroblastoma;diagnosis;C74;Oncologie;diagnosis
neuromusculardisease;diagnosis;G70;Neurologie;diagnosis
neuropathy;diagnosis;G62;Neurologie;diagnosis
neutropenia;diagnosis;D70;Hématologie;diagnosis
nevus;diagnosis;D22;Dermatologie;diagnosis
nicotinism;diagnosis;F17;Psychiatrie;diagnosis
nightterrors;diagnosis;F51;Psychiatrie;diagnosis
nonhodgkinslymphoma;diagnosis;C85;Hématologie;diagnosis
nonlymphoidleukemia;diagnosis;C95;Hématologie;diagnosis
nonrheumaticaorticinsufficiency;diagnosis;I35;Cardiologie;diagnosis
nonrheumaticmitralinsufficiency;diagnosis;I34;Cardiologie;diagnosis
nonrheumatictricuspidinsufficiency;diagnosis;I36;Cardiologie;diagnosis
nonsmallcelllungcancer;diagnosis;C34;Oncologie;diagnosis
nontoxicgoiter;diagnosis;E04;Endocrinologie;diagnosis
nosefracture;diagnosis;S02;Traumatologie;diagnosis
nursingdifficulties;diagnosis;R63;Nutrition;diagnosis
nutritiondeficiency;diagnosis;E40;Nutrition;diagnosis
obesity;diagnosis;E66;Nutrition;diagnosis
obstructiveuropathy;diagnosis;N13;Urologie;diagnosis
obstructiveventriculardefect;diagnosis;Q21;Cardiologie;diagnosis
oculocutaneousalbinism;diagnosis;E70;Dermatologie;diagnosis
oralfacialcleft;diagnosis;Q35;ORL;diagnosis
oralherpes;diagnosis;B00;Infectiologie;diagnosis
osteitis;diagnosis;M86;Orthopédie;diagnosis
osteoarthritis;diagnosis;M15;Orthopédie;diagnosis
osteochondritis;diagnosis;M91;Orthopédie;diagnosis
osteogenesisimperfecta;diagnosis;Q78;Orthopédie;diagnosis
osteomalacia;diagnosis;M83;Endocrinologie;diagnosis
osteomyelitis;diagnosis;M86;Orthopédie;diagnosis
osteonecrosis;diagnosis;M87;Orthopédie;diagnosis
osteopenia;diagnosis;M81;Endocrinologie;diagnosis
osteoporosis;diagnosis;M81;Endocrinologie;diagnosis
otitisexterna;diagnosis;H60;ORL;diagnosis
otitismedia;diagnosis;H66;ORL;diagnosis
ovariancancer;diagnosis;C56;Gynécologie;diagnosis
ovarianfailure;diagnosis;E28;Gynécologie;diagnosis
ovarianfibroma;diagnosis;D27;Gynécologie;diagnosis
ovariotorsion;diagnosis;N83;Gynécologie;diagnosis
overactivebladder;diagnosis;N32;Urologie;diagnosis
pagetsdisease;diagnosis;M88;Orthopédie;diagnosis
pancytopenia;diagnosis;D61;Hématologie;diagnosis
pancreaticcancer;diagnosis;C25;Oncologie;diagnosis
pancreatitis;diagnosis;K85;Gastroentérologie;diagnosis
papillarythyroidcancer;diagnosis;C73;Endocrinologie;diagnosis
paraganglioma;diagnosis;D44;Endocrinologie;diagnosis
paralysis;diagnosis;G83;Neurologie;diagnosis
parapneumoniceffusion;diagnosis;J90;Pneumologie;diagnosis
parathyroidadenoma;diagnosis;D35;Endocrinologie;diagnosis
parotidglandtumor;diagnosis;C07;ORL;diagnosis
paroxysmalsupraventriculartachycardia;diagnosis;I47;Cardiologie;diagnosis
patentductusarteriosus;diagnosis;Q25;Cardiologie;diagnosis
patentforamenovale;diagnosis;Q21;Cardiologie;diagnosis
patellarfracture;diagnosis;S82;Orthopédie;diagnosis
patellarfemoralinstability;diagnosis;M22;Orthopédie;diagnosis
pelvineffusion;diagnosis;R19;Gynécologie;diagnosis
pelvicfracture;diagnosis;S32;Traumatologie;diagnosis
pelvicinflammatorydisease;diagnosis;N73;Gynécologie;diagnosis
penilecancer;diagnosis;C60;Urologie;diagnosis
pepticduodenalulcer;diagnosis;K26;Gastroentérologie;diagnosis
pepticulcer;diagnosis;K27;Gastroentérologie;diagnosis
pericardialeffusion;diagnosis;I31;Cardiologie;diagnosis
pericarditis;diagnosis;I30;Cardiologie;diagnosis
perinatalasphyxia;diagnosis;P21;Pédiatrie;diagnosis
periodontitis;diagnosis;K05;Dentaire;diagnosis
peripheralarterydisease;diagnosis;I73;Chirurgie vasculaire;diagnosis
peripheralneuropathy;diagnosis;G62;Neurologie;diagnosis
peritonitis;diagnosis;K65;Chirurgie;diagnosis
pertussis;diagnosis;A37;Infectiologie;diagnosis
petechiae;diagnosis;R23;Hématologie;diagnosis
pheochromocytoma;diagnosis;C74;Endocrinologie;diagnosis
phimosis;diagnosis;N47;Urologie;diagnosis
phobia;diagnosis;F40;Psychiatrie;diagnosis
pharyngitis;diagnosis;J02;ORL;diagnosis
pheclephantiasis;diagnosis;I89;Hématologie;diagnosis
phyllodes;diagnosis;D48;Gynécologie;diagnosis
pigmentednevus;diagnosis;D22;Dermatologie;diagnosis
pituitaryadenoma;diagnosis;D35;Endocrinologie;diagnosis
placentaprevia;diagnosis;O44;Gynécologie;diagnosis
placentalabruption;diagnosis;O45;Gynécologie;diagnosis
plagiocephaly;diagnosis;Q67;Pédiatrie;diagnosis
pleuraleffusion;diagnosis;J90;Pneumologie;diagnosis
pleuritis;diagnosis;J90;Pneumologie;diagnosis
pneumococcalpneumonia;diagnosis;J13;Pneumologie;diagnosis
pneumoniamycoplasma;diagnosis;J15;Pneumologie;diagnosis
pneumothorax;diagnosis;J93;Pneumologie;diagnosis
poliomyelitis;diagnosis;A80;Neurologie;diagnosis
polyarteritisnodosa;diagnosis;M30;Rhumatologie;diagnosis
polycysticovariansyndrome;diagnosis;E28;Gynécologie;diagnosis
polydactyly;diagnosis;Q69;Orthopédie;diagnosis
polyhydramnios;diagnosis;O40;Obstétrique;diagnosis
polymyositis;diagnosis;M33;Rhumatologie;diagnosis
polyneuropathy;diagnosis;G62;Neurologie;diagnosis
polyposis;diagnosis;D12;Gastroentérologie;diagnosis
polyuria;diagnosis;R35;Endocrinologie;diagnosis
portalhypertension;diagnosis;K76;Gastroentérologie;diagnosis
postherpeticneuralgia;diagnosis;B02;Neurologie;diagnosis
postpartumhemorrhage;diagnosis;O72;Obstétrique;diagnosis
poststreptococcalglomerulonephritis;diagnosis;N00;Néphrologie;diagnosis
posttraumaticstressdisorder;diagnosis;F43;Psychiatrie;diagnosis
precociouspuberty;diagnosis;E22;Pédiatrie;diagnosis
preclampsia;diagnosis;O14;Obstétrique;diagnosis
prenatalasphyxia;diagnosis;P21;Pédiatrie;diagnosis
presbycusis;diagnosis;H91;ORL;diagnosis
pressureulcer;diagnosis;L89;Dermatologie;diagnosis
primarybiliarycirrhosis;diagnosis;K74;Hépatologie;diagnosis
prolactinoma;diagnosis;D35;Endocrinologie;diagnosis
prostateadenoma;diagnosis;D29;Urologie;diagnosis
prostatecancer;diagnosis;C61;Urologie;diagnosis
prostatitis;diagnosis;N41;Urologie;diagnosis
proteinuricrenaldisease;diagnosis;N08;Néphrologie;diagnosis
psoriasis;diagnosis;L40;Dermatologie;diagnosis
psychoticdisorder;diagnosis;F29;Psychiatrie;diagnosis
pulmonaryarterialhypertension;diagnosis;I27;Pneumologie;diagnosis
pulmonaryedema;diagnosis;J81;Pneumologie;diagnosis
pulmonaryembolism;diagnosis;I26;Pneumologie;diagnosis
pulmonaryfibrosis;diagnosis;J84;Pneumologie;diagnosis
pulmonarymetastases;diagnosis;C78;Pneumologie;diagnosis
pulmonarystenosis;diagnosis;Q25;Cardiologie;diagnosis
pyelonephritis;diagnosis;N12;Néphrologie;diagnosis
pyoderma;diagnosis;L88;Dermatologie;diagnosis
pyogenicgranuloma;diagnosis;L98;Dermatologie;diagnosis
rabies;diagnosis;A82;Infectiologie;diagnosis
radialfracture;diagnosis;S52;Traumatologie;diagnosis
radiationpneumonitis;diagnosis;J70;Pneumologie;diagnosis
radiculopathy;diagnosis;M54;Neurologie;diagnosis
rectalcancer;diagnosis;C20;Oncologie;diagnosis
rectalprolapse;diagnosis;K62;Chirurgie;diagnosis
rectalulcer;diagnosis;K62;Chirurgie;diagnosis
rectovaginalfistula;diagnosis;N82;Gynécologie;diagnosis
refluxesophagitis;diagnosis;K21;Gastroentérologie;diagnosis
renaladenoma;diagnosis;D30;Urologie;diagnosis
renalagenesis;diagnosis;Q60;Néphrologie;diagnosis
renalcolic;diagnosis;N23;Néphrologie;diagnosis
renalfailure;diagnosis;N17;Néphrologie;diagnosis
renalhypertension;diagnosis;I15;Néphrologie;diagnosis
renalmalformation;diagnosis;Q63;Néphrologie;diagnosis
renaltransplant;diagnosis;Z94;Néphrologie;diagnosis
respiratorydistresssyndrome;diagnosis;P22;Pédiatrie;diagnosis
respiratoryfailure;diagnosis;J96;Pneumologie;diagnosis
respiratorysyncytialvirusinfection;diagnosis;B97;Infectiologie;diagnosis
retinoblastoma;diagnosis;C69;Ophtalmologie;diagnosis
retrolentalfibroplasia;diagnosis;H35;Ophtalmologie;diagnosis
retropharyngealabscess;diagnosis;J39;ORL;diagnosis
rhabdomyosarcoma;diagnosis;C49;Oncologie;diagnosis
rheumaticcarditis;diagnosis;I01;Cardiologie;diagnosis
rheumaticmitraldisease;diagnosis;I05;Cardiologie;diagnosis
rheumatoidarthritis;diagnosis;M06;Rhumatologie;diagnosis
rhinovirusinfection;diagnosis;B34;Infectiologie;diagnosis
rickets;diagnosis;E55;Endocrinologie;diagnosis
rightbundlebranchblock;diagnosis;I45;Cardiologie;diagnosis
roseola;diagnosis;B08;Infectiologie;diagnosis
rosacea;diagnosis;L71;Dermatologie;diagnosis
rotavirusinfection;diagnosis;A08;Infectiologie;diagnosis
rupturedectopicpregnancy;diagnosis;O00;Gynécologie;diagnosis
rupturedliver;diagnosis;S36;Chirurgie;diagnosis
sacralfracture;diagnosis;S32;Traumatologie;diagnosis
salmonellosis;diagnosis;A02;Infectiologie;diagnosis
sarcoidosis;diagnosis;D86;Pneumologie;diagnosis
scabies;diagnosis;B86;Dermatologie;diagnosis
scaphoidfracture;diagnosis;S62;Traumatologie;diagnosis
schizophrenia;diagnosis;F20;Psychiatrie;diagnosis
scleroderma;diagnosis;M34;Rhumatologie;diagnosis
scurvy;diagnosis;E54;Nutrition;diagnosis
seborrheicdermatitis;diagnosis;L21;Dermatologie;diagnosis
seizuredisorder;diagnosis;G40;Neurologie;diagnosis
sensorineuralhearingloss;diagnosis;H90;ORL;diagnosis
sepsis;diagnosis;A41;Infectiologie;diagnosis
septicarthritis;diagnosis;M00;Orthopédie;diagnosis
sexuallytransmitteddisease;diagnosis;A64;Infectiologie;diagnosis
shigellosis;diagnosis;A03;Infectiologie;diagnosis
shock;diagnosis;R57;Réanimation;diagnosis
shoulderdislocation;diagnosis;S43;Traumatologie;diagnosis
shoulderfracture;diagnosis;S42;Traumatologie;diagnosis
sicklecelldisease;diagnosis;D57;Hématologie;diagnosis
silicosis;diagnosis;J62;Pneumologie;diagnosis
sinusitis;diagnosis;J01;ORL;diagnosis
sjogrensyndrome;diagnosis;M35;Rhumatologie;diagnosis
skinabscess;diagnosis;L02;Dermatologie;diagnosis
skincancer;diagnosis;C43;Dermatologie;diagnosis
skinulcer;diagnosis;L97;Dermatologie;diagnosis
sleepapnea;diagnosis;G47;Neurologie;diagnosis
sleepdisorder;diagnosis;G47;Neurologie;diagnosis
smallforgestationalage;diagnosis;P05;Pédiatrie;diagnosis
smallintestineobstruction;diagnosis;K56;Gastroentérologie;diagnosis
softtissueinfection;diagnosis;L03;Dermatologie;diagnosis
softtissuetumor;diagnosis;D21;Dermatologie;diagnosis
spasticquadriplegia;diagnosis;G80;Neurologie;diagnosis
spinalcordinjury;diagnosis;S14;Neurologie;diagnosis
spinaldf;diagnosis;M51;Orthopédie;diagnosis
spinalfracture;diagnosis;S32;Traumatologie;diagnosis
spinalmuscularatrophy;diagnosis;G12;Neurologie;diagnosis
spinalstenosis;diagnosis;M48;Orthopédie;diagnosis
splenomegaly;diagnosis;R16;Hématologie;diagnosis
spontaneousabortion;diagnosis;O03;Gynécologie;diagnosis
sprain;diagnosis;S93;Traumatologie;diagnosis
squamouscellcarcinoma;diagnosis;C44;Oncologie;diagnosis
stapediusmuscleparalysis;diagnosis;H72;ORL;diagnosis
statusepilepticus;diagnosis;G41;Neurologie;diagnosis
stillsdisease;diagnosis;M06;Rhumatologie;diagnosis
stomachcancer;diagnosis;C16;Oncologie;diagnosis
stomachexulceration;diagnosis;K25;Gastroentérologie;diagnosis
stomatitis;diagnosis;K12;Dentaire;diagnosis
strepApharyngitis;diagnosis;J02;ORL;diagnosis
streptococcalsepsis;diagnosis;A40;Infectiologie;diagnosis
stressfracture;diagnosis;M84;Orthopédie;diagnosis
stroke;diagnosis;I64;Neurologie;diagnosis
subarachnoidhemorrhage;diagnosis;I60;Neurologie;diagnosis
subduralhematoma;diagnosis;I62;Neurologie;diagnosis
subphrenicabscess;diagnosis;K65;Chirurgie;diagnosis
supraventriculartachycardia;diagnosis;I47;Cardiologie;diagnosis
sydenhamchorea;diagnosis;I02;Neurologie;diagnosis
syndromeofinappropriateantidiuretichormone;diagnosis;E22;Endocrinologie;diagnosis
syndactyly;diagnosis;Q70;Orthopédie;diagnosis
syphilis;diagnosis;A51;Infectiologie;diagnosis
systemiclupuserythematosus;diagnosis;M32;Rhumatologie;diagnosis
systemicsclerosis;diagnosis;M34;Rhumatologie;diagnosis
tachyarrhythmia;diagnosis;I47;Cardiologie;diagnosis
tachycardia;diagnosis;R00;Cardiologie;diagnosis
takayasuarteritis;diagnosis;M31;Rhumatologie;diagnosis
tetanus;diagnosis;A35;Infectiologie;diagnosis
thalassemia;diagnosis;D56;Hématologie;diagnosis
thrombocytopenia;diagnosis;D69;Hématologie;diagnosis
thrombocytosis;diagnosis;D75;Hématologie;diagnosis
thrombophilia;diagnosis;D68;Hématologie;diagnosis
thrombosis;diagnosis;I80;Hématologie;diagnosis
thyroidcancer;diagnosis;C73;Endocrinologie;diagnosis
thyroiddisorder;diagnosis;E07;Endocrinologie;diagnosis
thyrotoxicosis;diagnosis;E05;Endocrinologie;diagnosis
ticdisorder;diagnosis;F95;Psychiatrie;diagnosis
tibiadefect;diagnosis;Q72;Orthopédie;diagnosis
tibiafracture;diagnosis;S82;Traumatologie;diagnosis
ticsyndrome;diagnosis;F95;Psychiatrie;diagnosis
tinea;diagnosis;B35;Dermatologie;diagnosis
tonsillitis;diagnosis;J03;ORL;diagnosis
tonsiltumor;diagnosis;C09;ORL;diagnosis
toothabscess;diagnosis;K04;Dentaire;diagnosis
toothdecay;diagnosis;K02;Dentaire;diagnosis
toothfracture;diagnosis;S02;Dentaire;diagnosis
toothimpaction;diagnosis;K01;Dentaire;diagnosis
toothloss;diagnosis;K08;Dentaire;diagnosis
toothmalposition;diagnosis;K07;Dentaire;diagnosis
toothwear;diagnosis;K03;Dentaire;diagnosis
toxicepidermalnecrolysis;diagnosis;L51;Dermatologie;diagnosis
toxoplasmosis;diagnosis;B58;Infectiologie;diagnosis
tracheoesophagealfistula;diagnosis;Q39;Chirurgie;diagnosis
tracheomalacia;diagnosis;J39;ORL;diagnosis
tracheostomy;diagnosis;Z93;Chirurgie;diagnosis
transientischemicattack;diagnosis;G45;Neurologie;diagnosis
transpositionofgreatarteries;diagnosis;Q20;Cardiologie;diagnosis
transversemyelitis;diagnosis;G37;Neurologie;diagnosis
traumaticbraininjury;diagnosis;S06;Neurologie;diagnosis
tricuspidvalvedisease;diagnosis;I07;Cardiologie;diagnosis
trigeminalneuralgia;diagnosis;G50;Neurologie;diagnosis
trismus;diagnosis;K07;ORL;diagnosis
tuberculosis;diagnosis;A15;Infectiologie;diagnosis
